Chunk,GT
Out of Memory: Killed process 2056 (httpd).; Out of Memory: Killed process 2057 (httpd).; Out of Memory: Killed process 2059 (httpd).; Out of Memory: Killed process 2060 (httpd).; Out of Memory: Killed process 2061 (httpd).,<start>Out of Memory: Killed process 2056 (httpd).</end>
Out of Memory: Killed process 31008 (httpd).; Out of Memory: Killed process 31009 (httpd).; Out of Memory: Killed process 31012 (httpd).; Out of Memory: Killed process 31013 (httpd).; Out of Memory: Killed process 31014 (httpd).,<start>Out of Memory: Killed process 31008 (httpd).</end>
session closed for user news; connection from 81.181.213.88 (88-213-181-81-cable.canals.ro) at Sat Oct 22 06:32:11 2005; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.220.149.227 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.220.149.227 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.220.149.227 user=test,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.220.149.227 user=test</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.198.225.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.198.225.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.198.225.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.198.225.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.198.225.248 user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.198.225.248 user=root</end>
"NET-SNMP version 5.1.1; ntpd startup succeeded; listening on IPv4 interface eth0:13, 63.126.79.87#53; audit(1138296202.196:708129): syscall=102 exit=0 a0=2 a1=feee9ba0 a2=1877bc a3=feee9bdc items=0 pid=2300 loginuid=-1 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0; listening on IPv4 interface eth0:14, 63.126.79.89#53",<start>normal</end>
Out of Memory: Killed process 27120 (httpd).; Out of Memory: Killed process 27124 (httpd).; Out of Memory: Killed process 27122 (httpd).; Out of Memory: Killed process 27126 (httpd).; Out of Memory: Killed process 27130 (httpd).,<start>Out of Memory: Killed process 27120 (httpd).</end>
Out of Memory: Killed process 26616 (httpd).; Out of Memory: Killed process 26635 (httpd).; Out of Memory: Killed process 27081 (httpd).; Out of Memory: Killed process 26636 (httpd).; Out of Memory: Killed process 27080 (httpd).,<start>Out of Memory: Killed process 26616 (httpd).</end>
ALERT exited abnormally with [1]; session opened for user news by (uid=0); session closed for user news; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202.39.240.228 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202.39.240.228 user=root,<start>ALERT exited abnormally with [1]; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202.39.240.228 user=root</end>
Out of Memory: Killed process 24605 (httpd).; Out of Memory: Killed process 24606 (httpd).; Out of Memory: Killed process 24650 (httpd).; Out of Memory: Killed process 24716 (httpd).; Out of Memory: Killed process 24741 (httpd).,<start>Out of Memory: Killed process 24605 (httpd).</end>
Out of Memory: Killed process 14597 (httpd).; Out of Memory: Killed process 14598 (httpd).; Out of Memory: Killed process 14591 (python).; Out of Memory: Killed process 14599 (httpd).; Out of Memory: Killed process 14600 (httpd).,<start>Out of Memory: Killed process 14597 (httpd).</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c-67-184-108-28.hsd1.il.comcast.net user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c-67-184-108-28.hsd1.il.comcast.net user=test; connection from 84.232.2.50 () at Mon Jan 9 23:44:50 2006; connection from 84.232.2.50 () at Mon Jan 9 23:44:50 2006; connection from 84.232.2.50 () at Mon Jan 9 23:44:50 2006,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c-67-184-108-28.hsd1.il.comcast.net user=test</end>
Out of Memory: Killed process 6433 (httpd).; Out of Memory: Killed process 6434 (httpd).; Out of Memory: Killed process 6435 (httpd).; Out of Memory: Killed process 6436 (httpd).; Out of Memory: Killed process 6437 (httpd).,<start>Out of Memory: Killed process 6433 (httpd).</end>
Out of Memory: Killed process 26972 (httpd).; Out of Memory: Killed process 26973 (httpd).; Out of Memory: Killed process 26974 (httpd).; Out of Memory: Killed process 26975 (httpd).; Out of Memory: Killed process 26976 (httpd).,<start>Out of Memory: Killed process 26972 (httpd).</end>
Out of Memory: Killed process 30688 (httpd).; Out of Memory: Killed process 30689 (httpd).; Out of Memory: Killed process 30690 (httpd).; Out of Memory: Killed process 30691 (httpd).; Out of Memory: Killed process 30759 (httpd).,<start>Out of Memory: Killed process 30688 (httpd).</end>
Out of Memory: Killed process 31422 (httpd).; Out of Memory: Killed process 31423 (httpd).; Out of Memory: Killed process 31424 (httpd).; Out of Memory: Killed process 31425 (httpd).; Out of Memory: Killed process 31426 (httpd).,<start>Out of Memory: Killed process 31422 (httpd).</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=fastfood.com.pe user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=fastfood.com.pe user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=fastfood.com.pe user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=fastfood.com.pe user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=fastfood.com.pe user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=fastfood.com.pe user=root</end>
crond startup succeeded; xfs startup succeeded; anacron startup succeeded; atd startup succeeded; Starting background readahead:,<start>normal</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.80.222.134 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.80.222.134 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.80.222.134 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.80.222.134 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.80.222.134 user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.80.222.134 user=root</end>
"Configuration file /etc/smartd.conf parsed.; serio: i8042 AUX port at 0x60,0x64 irq 12; Device: /dev/hda, opened; input: ImPS/2 Logitech Wheel Mouse on isa0060/serio1; Device: /dev/hda, found in smartd database.",<start>normal</end>
Out of Memory: Killed process 6006 (httpd).; Out of Memory: Killed process 6007 (httpd).; Out of Memory: Killed process 6008 (httpd).; Out of Memory: Killed process 6009 (httpd).; Out of Memory: Killed process 6010 (httpd).,<start>Out of Memory: Killed process 6006 (httpd).</end>
Out of Memory: Killed process 32636 (httpd).; Out of Memory: Killed process 32637 (httpd).; Out of Memory: Killed process 32638 (httpd).; Out of Memory: Killed process 32639 (httpd).; Out of Memory: Killed process 32640 (httpd).,<start>Out of Memory: Killed process 32636 (httpd).</end>
Out of Memory: Killed process 32562 (httpd).; Out of Memory: Killed process 32563 (httpd).; Out of Memory: Killed process 32564 (httpd).; Out of Memory: Killed process 32565 (httpd).; Out of Memory: Killed process 32566 (httpd).,<start>Out of Memory: Killed process 32562 (httpd).</end>
connection from 211.107.232.1 () at Sat Aug 6 07:23:59 2005; connection from 211.107.232.1 () at Sat Aug 6 07:23:59 2005; connection from 211.107.232.1 () at Sat Aug 6 07:23:59 2005; session opened for user cyrus by (uid=0); session closed for user cyrus,<start>normal</end>
Out of Memory: Killed process 1541 (httpd).; Out of Memory: Killed process 1545 (httpd).; Out of Memory: Killed process 1546 (httpd).; Out of Memory: Killed process 1547 (httpd).; Out of Memory: Killed process 1544 (python).,<start>Out of Memory: Killed process 1541 (httpd).</end>
Out of Memory: Killed process 1438 (python).; Out of Memory: Killed process 1442 (httpd).; Out of Memory: Killed process 1460 (python).; Out of Memory: Killed process 1461 (httpd).; Out of Memory: Killed process 1468 (python).,<start>Out of Memory: Killed process 1438 (python).</end>
Out of Memory: Killed process 22152 (httpd).; Out of Memory: Killed process 22153 (httpd).; Out of Memory: Killed process 22154 (httpd).; Out of Memory: Killed process 22155 (httpd).; Out of Memory: Killed process 22156 (httpd).,<start>Out of Memory: Killed process 22152 (httpd).</end>
Out of Memory: Killed process 22768 (httpd).; Out of Memory: Killed process 22769 (httpd).; Out of Memory: Killed process 22774 (httpd).; Out of Memory: Killed process 22775 (httpd).; Out of Memory: Killed process 22783 (httpd).,<start>Out of Memory: Killed process 22768 (httpd).</end>
Out of Memory: Killed process 32673 (updatedb).; session opened for user news by (uid=0); session closed for user news; Out of Memory: Killed process 366 (httpd).; Out of Memory: Killed process 375 (httpd).,<start>Out of Memory: Killed process 32673 (updatedb).; Out of Memory: Killed process 366 (httpd).; Out of Memory: Killed process 375 (httpd).</end>
